clk,enable,resetn,cpuregs[1],cpuregs[2],cpuregs[3],cpuregs[4],cpuregs[5],cpuregs[6],cpuregs[7],memory[0],memory[1],memory[2],memory[3],memory[4],memory[5],memory[6],memory[7],memory[8],memory[9],memory[10],memory[11],memory[12],memory[13],memory[14],memory[15],memory[16],memory[17],memory[18],memory[19],memory[20],memory[21],memory[22],memory[23],memory[24],memory[25],memory[26],memory[27],memory[28],memory[29],memory[30],memory[31],memory[32],memory[33],memory[34],memory[35],memory[36],memory[37]
0,0,0,0,0,0,00000000,0,00000000,00000000,0dc00093,0000a223,0040a103,410113,0020a423,2010193,6312623,5018213,8422023,402202b3,0052a623,0a000313,632423,832383,00c10113,418193,820213,128293,530313,338393,fbdff06f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,00000000,0,00000000,00000000,0dc00093,0000a223,0040a103,410113,0020a423,2010193,6312623,5018213,8422023,402202b3,0052a623,0a000313,632423,832383,00c10113,418193,820213,128293,530313,338393,fbdff06f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,00000000,0,00000000,00000000,0dc00093,0000a223,0040a103,410113,0020a423,2010193,6312623,5018213,8422023,402202b3,0052a623,0a000313,632423,832383,00c10113,418193,820213,128293,530313,338393,fbdff06f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,00000000,0,00000000,00000000,0dc00093,0000a223,0040a103,410113,0020a423,2010193,6312623,5018213,8422023,402202b3,0052a623,0a000313,632423,832383,00c10113,418193,820213,128293,530313,338393,fbdff06f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,00000000,0,00000000,00000000,0dc00093,0000a223,0040a103,410113,0020a423,2010193,6312623,5018213,8422023,402202b3,0052a623,0a000313,632423,832383,00c10113,418193,820213,128293,530313,338393,fbdff06f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,1,0,0,0,00000000,0,00000000,00000000,0dc00093,0000a223,0040a103,410113,0020a423,2010193,6312623,5018213,8422023,402202b3,0052a623,0a000313,632423,832383,00c10113,418193,820213,128293,530313,338393,fbdff06f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,1,0,0,0,00000000,0,00000000,00000000,0dc00093,0000a223,0040a103,410113,0020a423,2010193,6312623,5018213,8422023,402202b3,0052a623,0a000313,632423,832383,00c10113,418193,820213,128293,530313,338393,fbdff06f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,1,0,0,0,00000000,0,00000000,00000000,0dc00093,0000a223,0040a103,410113,0020a423,2010193,6312623,5018213,8422023,402202b3,0052a623,0a000313,632423,832383,00c10113,418193,820213,128293,530313,338393,fbdff06f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,1,0,0,0,00000000,0,00000000,00000000,0dc00093,0000a223,0040a103,410113,0020a423,2010193,6312623,5018213,8422023,402202b3,0052a623,0a000313,632423,832383,00c10113,418193,820213,128293,530313,338393,fbdff06f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,1,0,0,0,00000000,0,00000000,00000000,0dc00093,0000a223,0040a103,410113,0020a423,2010193,6312623,5018213,8422023,402202b3,0052a623,0a000313,632423,832383,00c10113,418193,820213,128293,530313,338393,fbdff06f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
